S/n,Organisation Name,Mailing Address,Latitude,Longitude,Phone Number,Fax Number,Email Address
1,"*SCAPE CO., LTD.",2 Orchard Link #04-01 *SCAPE Building Singapore 237978,1.3010294,103.8357316,65216565,65216566,enquiries@scape.sg
2,365 Cancer Prevention Society,1 Commonwealth Lane #03-10 ONE Commonwealth Singapore 149544,1.3045222,103.7968194,63373368,,admin@365cps.org.sg
3,Abilities Beyond Limitations And Expectations Limited,7A Lor 8 Toa Payoh #02-09 Agape Village Singapore 319264,1.3400854,103.8570262,68017460,,enquiries@able-sg.org
4,Action For AIDS (Singapore),9 Kelantan Lane #03-01 Singapore 208628,1.306281,103.8564623,62540212,62565903,info@afa.org.sg
5,ADULLAM LIFE COUNSELLING,151 Chin Swee Road #08-04 Manhattan House Singapore 169876,1.2873008,103.8406134,90295323,,admin@adullam.org.sg
6,Adventist Community Services,90 Jurong East Street 13 #03-04 Singapore 609648,1.3354788,103.737972,65659076,65624923,ericteo@adventist.org.sg
7,Adventist Home for the Elders,195 Kim Keat Avenue #01-294 Singapore 310195,1.3305218,103.8588934,62581267,62581267,contact@adventisthome.org.sg
8,Adventist Nursing and Rehabilitation Centre,6 Marsiling Drive #01-96 Singapore 730006,1.4419885,103.7763046,63688401,63688034,cassie.tan@anrc.org.sg
9,Agape Counselling And Training Centre,8 Geylang Lorong 11 Singapore 388700,1.3123913,103.8771816,68422922,68422322,amelialim@agapesingapore.com
10,AGORA@WESTCOASTPLAZA LTD,121D SENGKANG EAST WAY #16-75 RIVERVALE BANK Singapore 544121,1.3867005,103.9046241,98449536,,albyyip@singnet.com.sg
11,Aidha Ltd,748A NORTH BRIDGE ROAD Singapore 198716,1.3030724,103.8594369,63415287/97894041,,info@aidha.org
12,Ain Society,2 Eunos Crescent #01-2545 Singapore 400002,1.3209039,103.902844,68485166,68447243,query@ainsociety.org.sg
13,ALIFE Ltd,308 Shunfu Road #01-165 Singapore 570308,1.3515149,103.8379898,62588816,62584339,alifeltd@singnet.com.sg
14,Alive Community Network,291 New Bridge Road #02-10/11 The Oriental Plaza Singapore 088756,1.2818744,103.8420632,63721053,,admin@alivecommunity.net
15,All Saints Home,5 Poh Huat Road All Saints Home Singapore 546703,1.3652757,103.8842674,6282 6969,6286 8157,recruit@allsaintshome.org.sg
